Data,MCC,AUC,F1-Score,Accuracy
4mC_A.thaliana,0.1356702451574832,0.5928429435865344,0.5692574837857493,0.5678335839897554
4mC_C.elegans,0.1389965887927337,0.597625410479761,0.5741153448931892,0.5694818396615199
4mC_D.melanogaster,0.1532952248694515,0.6087832355223921,0.579173238455049,0.5766420664206642
4mC_E.coli,0.0229731335046838,0.6147559060032664,0.0064,0.83310937919914
4mC_G.pickeringii,0.0770417626537919,0.6310354163581049,0.0338791643139469,0.8340285187700068
4mC_G.subterraneus,0.0148877739470181,0.6088341582290062,0.0039421813403416,0.8330580332562493
5mC,0.2602465813098674,0.6799059977402183,0.6315342116447089,0.6301194539249146
6mC,0.3700629371646066,0.7465059840322279,0.7003154574132492,0.6839205847060107
Arabidopsis_NonTATA,0.7830735341138912,0.9547932070873476,0.8895265423242468,0.8913350268134349
Arabidopsis_TATA,0.794472436848083,0.9614446712859854,0.8607888631090487,0.9086062452399086
B_amyloliquefaciens,0.5692162399324838,0.8620145763080604,0.784251968503937,0.7845911949685535
DNase_I,0.526718480841299,0.8324753324753326,0.6405228758169934,0.8202614379084967
GM12878,0.8408449158556752,0.9760558016528926,0.9196919691969196,0.9203636363636364
H3,0.6666867409241704,0.9039226361542992,0.838501291989664,0.832999331997328
H3K14ac,0.2930509876978616,0.7105547744607451,0.7247728946722317,0.6608169440242058
H3K36me3,0.3739658295585813,0.7487383140838522,0.7359841936280563,0.6935206422018348
H3K4me1,0.3243759249225824,0.7110630124557822,0.7221781654771345,0.6682449494949495
H3K4me2,0.2904116728575377,0.6900031921918115,0.7492654260528894,0.6663408276311502
H3K4me3,0.1925525612663239,0.6382330597183701,0.657502329916123,0.6005434782608695
H3K79me3,0.5040002863940177,0.8188179556320778,0.7761006289308177,0.753120665742025
H3K9ac,0.3731276555734182,0.7588796254595348,0.7107107107107107,0.688017272400144
H4,0.6803360057710105,0.9096738300756848,0.8200312989045383,0.8425735797399042
H4ac,0.2783786776710015,0.6940305880117792,0.6920939631220006,0.6425219941348974
HUVEC,0.8839722789584732,0.982051711116239,0.9419268210808996,0.9419852448021462
Hela-S3,0.8692493393912462,0.9810183088448204,0.9349152542372882,0.9346049046321526
NHEK,0.7218988124862418,0.927150631316516,0.8637015781922525,0.8605675146771037
R_capsulatus,0.304936310522542,0.7119584156576726,0.6594627971596172,0.6525984251968504
acceptors,0.4553765692794949,0.8041929582045861,0.7477253928866832,0.7249774571686204
all,0.3766912453360088,0.7673723333333333,0.5817840521931344,0.583
binary,0.5350066876253933,0.8332999999999999,0.7680798004987531,0.7675
coding,0.7276355897418562,0.9407634848,0.8617780661907852,0.86368
covid,0.5780607628631336,0.907221925114952,0.6259087141485845,0.6260907504363001
donors,0.4600643603380449,0.8044775625103494,0.7470489038785835,0.727024567788899
enhancer_cohn,0.3955852887929816,0.7757510434450308,0.6947674418604651,0.697754749568221
enhancer_ensembl,0.6740416048681717,0.9357294095163702,0.8440333475324043,0.8344849854698095
human_worm,0.7512035179813588,0.9501030784,0.8722463352714765,0.8752
mouse_0,0.1753107795988223,0.6374150281969213,0.5866336633663366,0.5876543209876544
mouse_1,0.6030743792089494,0.886271958005781,0.7923421337038753,0.8005930318754633
mouse_2,0.5923560570325828,0.878253271861987,0.8011869436201781,0.7957317073170732
mouse_3,0.1049472714673401,0.5869747899159664,0.5201793721973094,0.5523012552301255
mouse_4,0.2077830147639807,0.6417124123724366,0.5958829902491874,0.6038236856080722
multi,0.5172593145589833,0.8528111111111111,0.5708509012833258,0.6875
nontata_promoter,0.7003889870936997,0.9319359927211244,0.8484650555192684,0.845915430595528
ocr,0.3235717456840684,0.7191868250823115,0.6798034875560115,0.6606202792401007
prom_300_all,0.7288340307179558,0.9347881568734876,0.8641515817966503,0.8643581081081081
prom_300_notata,0.8054004388871249,0.9632259507829978,0.8997112608277189,0.9018277746372716
prom_300_tata,0.4400656309850047,0.7937147118355172,0.7198697068403909,0.7194127243066885
prom_core_all,0.523877526178842,0.8367386152382412,0.7569336778639104,0.7616554054054054
prom_core_notata,0.5551610234627884,0.8518244910689229,0.774833174451859,0.7774637271528171
prom_core_tata,0.4470207953083536,0.779568003747232,0.7376543209876543,0.7226753670473083
reconstructed,0.282354370215232,0.7874133725144293,0.4495130672088583,0.6247259973695748
regulatory,0.7472296369653085,0.9446000667345432,0.8305108582874411,0.8296397692027793
tf_0,0.6036398339752251,0.888096,0.8135904499540864,0.797
tf_1,0.6258613746005209,0.8892979999999999,0.8229842446709916,0.809
tf_2,0.4267183448930933,0.797342,0.7210884353741497,0.713
tf_3,0.3255033914593824,0.730912,0.6774809160305344,0.662
tf_4,0.5377569880709344,0.843736,0.7523910733262487,0.767
