Data,MCC,AUC,F1-Score,Accuracy
GM12878,0.8800281613517521,0.9816568595041322,0.9397590361445785,0.94
HUVEC,0.9021960285248424,0.9871633107385652,0.9514304723885564,0.9510395707578806
Hela-S3,0.8859936648093546,0.9840208276102724,0.943661971830986,0.9427792915531336
NHEK,0.7156037413521161,0.9329611559392006,0.8613485280151948,0.8571428571428571
nontata_promoter,0.6547000599679609,0.8903754207544277,0.8193950177935942,0.820234669028116
prom_core_notata,0.5803238737622969,0.8669331427552098,0.7843061461151913,0.789711701526286
prom_core_tata,0.4657804908831178,0.8026688383580309,0.74375,0.732463295269168
prom_core_all,0.5318316369750796,0.8484424991234414,0.757247642333217,0.7652027027027027
prom_300_notata,0.8312604807332166,0.9711572032243172,0.9131437355880092,0.9148294705106464
prom_300_tata,0.3875668434788673,0.7527857675508682,0.6928104575163399,0.6933115823817292
prom_300_all,0.74158903488425,0.9394574373373512,0.8710601719197707,0.870777027027027
coding,0.7079118693290825,0.9287730848,0.8559378818335894,0.8538
donors,0.4297994191436152,0.801804520615996,0.7197139025480553,0.7147406733393995
acceptors,0.4675716215123611,0.8154760936737682,0.7484089944845141,0.7326420198376916
binary,0.5522411240560589,0.864825,0.784688995215311,0.775
enhancer_cohn,0.4109005526992924,0.7888022265242682,0.7015599941682461,0.7053828439838803
enhancer_ensembl,0.699221552107277,0.9391746363855404,0.8537978833005526,0.8487891507910882
tf_0,0.5345362839578592,0.8558899999999999,0.7823691460055097,0.763
tf_1,0.5890265878980198,0.883476,0.8059424326833797,0.791
tf_2,0.4405077575737435,0.790326,0.7265625,0.72
tf_3,0.2841842110725127,0.7008719999999999,0.6483300589390962,0.642
tf_4,0.4799585206127628,0.831216,0.6777251184834123,0.728
ocr,0.3262781336301128,0.7188080611851503,0.6851398787363047,0.6612497138933394
DNase_I,0.5442414048614596,0.8533086658086658,0.6535947712418301,0.826797385620915
B_amyloliquefaciens,0.4908502374243992,0.8257270848372774,0.7507692307692306,0.7452830188679245
R_capsulatus,0.2570618791011018,0.6761758058921075,0.6494201605709188,0.6286614173228346
Arabidopsis_NonTATA,0.7376399384927691,0.9392174588587388,0.8699300699300699,0.8687552921253175
Arabidopsis_TATA,0.739029109409537,0.950641342901922,0.8232558139534885,0.8842345773038842
human_worm,0.8438827614539931,0.9784631808,0.922687346680383,0.92184
mouse_0,0.2765507971081146,0.6968449931412894,0.6396063960639606,0.6382716049382716
mouse_1,0.63013633327481,0.8955007914711727,0.8049689440993788,0.8137879911045218
mouse_2,0.6226925203945181,0.9037031528851874,0.80625,0.8109756097560976
mouse_3,0.2388227636159955,0.6517507002801121,0.6255144032921811,0.6192468619246861
mouse_4,0.2473158327367064,0.6820904715812559,0.612356478950246,0.623473181093999
5mC,0.3259461601173443,0.7227242745984228,0.6641156462585034,0.6629692832764505
6mC,0.3904384523973414,0.7648626079890222,0.7088699626090571,0.6942293007527
4mC_A.thaliana,0.1889950497938154,0.6318572326847199,0.6034676022302126,0.5943982012299537
4mC_C.elegans,0.213226665444754,0.6478808091219999,0.6119872107516393,0.6065717896587725
4mC_D.melanogaster,0.2201149520929734,0.6521559319726038,0.6137709231781302,0.6100369003690037
4mC_E.coli,0.0,0.6075475132891575,0.0,0.833378124160172
4mC_G.pickeringii,0.0,0.6323938783704255,0.0,0.8333495004365118
4mC_G.subterraneus,0.0,0.6140080266517592,0.0,0.8333516866718056
H3K79me3,0.551005579679202,0.8450264149923659,0.7969782813975449,0.7763522884882108
H3K4me1,0.3321657319183735,0.7120177466343006,0.7290255341323605,0.6717171717171717
H4,0.6758770462730413,0.9123624819142594,0.8158102766798417,0.840520191649555
H4ac,0.327672264775982,0.7253652512586681,0.7085362727505768,0.6665689149560118
H3K4me2,0.2569886155090763,0.6857580143692361,0.7479329081030003,0.6523297491039427
H3K4me3,0.2094689305859514,0.6602571227775639,0.6766816143497757,0.6081521739130434
H3K14ac,0.3624874059348419,0.7384434152958828,0.7564966313763233,0.6937972768532527
H3K36me3,0.4106131000833248,0.777976586200327,0.7510506798516686,0.711295871559633
H3K9ac,0.3950545944800989,0.7713674497522964,0.7335261973641918,0.7016912558474271
all,0.2999654613832884,0.7297618333333333,0.5310030181467406,0.5323333333333333
multi,0.4911814173978056,0.8716416666666668,0.521893946628929,0.66
reconstructed,0.2522458349020012,0.7106956462995906,0.3744408040142833,0.6091626479614204
covid,0.4426986538973799,0.8208924846482992,0.5095681151113465,0.506326352530541
regulatory,0.4636804725810807,0.8242538964262257,0.644519428324892,0.644187618040996
